name,species,gender,homeworld,occupation,affiliation,forces_way
Aayla Secura,Twi'lek,Female,Ryloth,Jedi Master,Jedi Order,Light side
Adi Gallia,Tholothian,Female,Coruscant,Jedi Master,Jedi Order,Light side
Agen Kolar,Zabrak,Male,Iridonia,Jedi Master,Jedi Order,Light side
Ahsoka Tano,Togruta,Female,Shili,Padawan,Jedi Order,Light side
Akar-Deshu,Mahran,Male,Unknown,Jedi Knight,Jedi Order,Light side
Anakin Skywalker,Human,Male,Tatooine,Jedi Knight,Jedi Order,Light side
Anger,Unknown,Female,Wellspring of Life,Force Priestess,Force Priestesses,Light side
Asajj Ventress,Zabrak,Female,Dathomir,Sith Acolyte,Sith Order,Dark Side
Asajj Ventress's mother,Zabrak,Female,Dathomir,Witch,Nightsisters,Dark Side
Aurra Sing,Palliduvan,Female,Nar Shaddaa,Padawan,Jedi Order,Light side
Barriss Offee,Mirialan,Female,Mirial,Padawan,Jedi Order,Light side
Bolla Ropal,Rodian,Male,Rodia,Jedi Master,Jedi Order,Light side
Bruu Jun-Fan,Human,Male,Unknown,Jedi Master,Jedi Order,Light side
Byph,Ithorian,Male,Ithor,Youngling,Jedi Order,Light side
Caleb Dume,Human,Male,Coruscant,Padawan,Jedi Order,Light side
Chubor,Aleena,Male,Unknown,Jedi General,Jedi Order,Light side
Cin Drallig,Human,Male,Lavisar,Jedi Master,Jedi Order,Light side
Coleman Kcaj,Ongree,Male,Skustell,Jedi General,Jedi Order,Light side
Confusion,Unknown,Female,Wellspring of Life,Force Priestess,Force Priestesses,Light side
Daakman Barrek,Human,Male,Mrlsst,Jedi Master,Jedi Order,Light side
Daka,Zabrak,Female,Dathomir,Witch,Nightsisters,Dark Side
Dante,Caphex,Male,Unknown,Jedi (formerly),Jedi Order,Light side
Darth Bane,Human,Male,Apatros,Sith Lord,Sith Order,Dark Side
Darth Maul,Zabrak,Male,Dathomir,Sith Lord,Sith Order,Dark Side
Darth Sidious,Human,Male,Naboo,Sith Lord,Sith Order,Dark Side
Darth Tyranus,Human,Male,Serenno,Sith Lord,Sith Order,Dark Side
Darth Vader,Human,Male,Coruscant,Sith Lord,Sith Order,Dark Side
Depa Billaba,Human,Female,Chalacta,Jedi Master,Jedi Order,Light side
Devon Izara,Twi'lek,Female,Unknown,Padawan,Jedi Order,Light side
Eekar Oki,Mon Calamari,Male,Dac,Jedi Knight,Jedi Order,Light side
Eeth Koth,Zabrak,Male,Nar Shaddaa,Jedi Master,Jedi Order,Light side
Even Piell,Lannik,Male,Lannik,Jedi High General,Jedi Order,Light side
Farn Klin,Unidentified,Male,Unknown,Youngling,Jedi Order,Light side
Feral,Zabrak,Male,Dathomir,Warrior,Nightbrothers,Dark Side
Finn Ertay,Twi'lek,Female,Ryloth,Jedi Knight,Jedi Order,Light side
Foul Moudama,Talz,Male,Alzoc III,Jedi Master,Jedi Order,Light side
Ganodi,Rodian,Female,Rodia,Youngling,Jedi Order,Light side
Gungi,Wookiee,Male,Kashyyyk,Youngling,Jedi Order,Light side
